count,date
241,2022-09-01
210,2022-09-02
219,2022-09-03
251,2022-09-04
79,2022-09-05
266,2022-09-06
169,2022-09-07
206,2022-09-08
149,2022-09-09
228,2022-09-10
227,2022-09-11
233,2022-09-12
248,2022-09-13
166,2022-09-14
220,2022-09-15
190,2022-09-16
165,2022-09-17
108,2022-09-18
182,2022-09-19
187,2022-09-20
177,2022-09-21
281,2022-09-22
253,2022-09-23
159,2022-09-24
240,2022-09-25
222,2022-09-26
179,2022-09-27
208,2022-09-28
179,2022-09-29
202,2022-09-30
172,2022-10-01
199,2022-10-02
213,2022-10-03
191,2022-10-04
196,2022-10-05
213,2022-10-06
132,2022-10-07
271,2022-10-08
215,2022-10-09
181,2022-10-10
202,2022-10-11
149,2022-10-12
187,2022-10-13
202,2022-10-14
237,2022-10-15
265,2022-10-16
235,2022-10-17
234,2022-10-18
201,2022-10-19
148,2022-10-20
158,2022-10-21
277,2022-10-22
183,2022-10-23
166,2022-10-24
245,2022-10-25
169,2022-10-26
156,2022-10-27
151,2022-10-28
186,2022-10-29
227,2022-10-30
212,2022-10-31
246,2022-11-01
256,2022-11-02
336,2022-11-03
86,2022-11-04
144,2022-11-05
228,2022-11-06
169,2022-11-07
182,2022-11-08
150,2022-11-09
213,2022-11-10
151,2022-11-11
206,2022-11-12
281,2022-11-13
108,2022-11-14
127,2022-11-15
192,2022-11-16
206,2022-11-17
281,2022-11-18
229,2022-11-19
264,2022-11-20
243,2022-11-21
138,2022-11-22
191,2022-11-23
185,2022-11-24
212,2022-11-25
213,2022-11-26
119,2022-11-27
155,2022-11-28
234,2022-11-29
197,2022-11-30
226,2022-12-01
189,2022-12-02
156,2022-12-03
198,2022-12-04
197,2022-12-05
194,2022-12-06
216,2022-12-07
190,2022-12-08
239,2022-12-09
189,2022-12-10
243,2022-12-11
249,2022-12-12
135,2022-12-13
235,2022-12-14
224,2022-12-15
214,2022-12-16
211,2022-12-17
391,2022-12-18
251,2022-12-19
292,2022-12-20
398,2022-12-21
293,2022-12-22
79,2022-12-23
97,2022-12-24
110,2022-12-25
226,2022-12-26
148,2022-12-27
165,2022-12-28
47,2022-12-29
157,2022-12-30
123,2022-12-31
198,2023-01-01
160,2023-01-02
215,2023-01-03
253,2023-01-04
239,2023-01-05
122,2023-01-06
123,2023-01-07
110,2023-01-08
66,2023-01-09
41,2023-01-10
22,2023-01-11
2,2023-01-12